Unidade de Conservação;Região da Amazônia ;Período de amostragem 
ESEC Rio Acre ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
FLONA do Jamari ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
PARNA da Serra da Cutia ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
PARNA da Serra do Divisor ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
PARNA de Pacaás Novos ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
PARNA Mapinguari ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
REBIO do Jaru;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX Arapixi ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX Barreiro das Antas ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX Chico Mendes;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX do Alto Tarauacá ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX do Cazumbá-Iracema ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX do Rio Cautário ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX do Rio Ouro Preto ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
RESEX Riozinho da Liberdade ;Sudoeste;2ª q. de  abril à 1ª q. de  junho
ESEC da Terra do Meio*;Central;1ª q. de  junho à 2ª quizena julho 
FLONA de Tapajós ;Central;1ª q. de  junho à 2ª quizena julho 
PARNA da Amazônia ;Central;1ª q. de  junho à 2ª quizena julho 
PARNA do Jaú ;Central;1ª q. de  junho à 2ª quizena julho 
PARNA dos Campos Amazônicos*;Central;1ª q. de  junho à 2ª quizena julho 
PARNA Nascentes do Lago Jari ;Central;1ª q. de  junho à 2ª quizena julho 
REBIO do Uatumã ;Central;1ª q. de  junho à 2ª quizena julho 
RESEX do Lago do Capanã Grande ;Central;1ª q. de  junho à 2ª quizena julho 
RESEX Riozinho do Anfrísio ;Central;1ª q. de  junho à 2ª quizena julho 
RESEX Tapajós-Arapiuns ;Central;1ª q. de  junho à 2ª quizena julho 
RESEX Verde para Sempre ;Central;1ª q. de  junho à 2ª quizena julho 
ESEC do Jari ;Leste ;1ª q. de  julho à 2ª q. de  agosto
PARNA do Cabo Orange ;Leste ;1ª q. de  julho à 2ª q. de  agosto
PARNA Montanhas do Tumucumaque ;Leste ;1ª q. de  julho à 2ª q. de  agosto
REBIO do Gurupi ;Leste ;1ª q. de  julho à 2ª q. de  agosto
RESEX Ipaú-Anilzinho ;Leste ;1ª q. de  julho à 2ª q. de  agosto
RESEX Renascer ;Leste ;1ª q. de  julho à 2ª q. de  agosto
PARNA do Juruena*;Sudeste ;1ª q. de  abril à 2ª q. de  maio
REBIO do Tapirapé ;Sudeste;1ª q. de  abril à 2ª q. de  maio
ESEC Maracá ;Norte;2ª q. de  agosto à 1ª q. de  outubro 
ESEC Niquiá ;Norte ;2ª q. de  agosto à 1ª q. de  outubro 
PARNA do Monte Roraima ;Norte;2ª q. de  agosto à 1ª q. de  outubro 
PARNA do Viruá ;Norte;2ª q. de  agosto à 1ª q. de  outubro 
PARNA Serra da Mocidade ;Norte;2ª q. de  agosto à 1ª q. de  outubro 
ESEC de Pirapitinga;Cerrado;1ª q. de março à 2ª q. de abril 
PARNA da Chapada dos Veadeiros;Cerrado;1ª q. de março à 2ª q. de abril 
PARNA da Serra da Bodoquena;Cerrado;1ª q. de março à 2ª q. de abril 
PARNA da Serra do Cipó;Cerrado;1ª q. de março à 2ª q. de abril 
PARNA de Brasília;Cerrado;1ª q. de março à 2ª q. de abril 
REBIO de Una;Mata Atlântica do NE;1ª q. de agosto à 2ª q. de setembro 
REBIO Guaribas;Mata Atlântica do NE;1ª q. de agosto à 2ª q. de setembro 
PARNA da Serra da Bocaina;Mata Atlântica do S e SE;2ª q. de fevereiro à 1ª q. de abril 
PARNA da Serra dos Órgãos;Mata Atlântica do S e SE;2ª q. de fevereiro à 1ª q. de abril 
PARNA do Iguaçu;Mata Atlântica do S e SE;2ª q. de fevereiro à 1ª q. de abril 
PARNA do Superagui;Mata Atlântica do S e SE;2ª q. de fevereiro à 1ª q. de abril 
